"TIME","GEO","NACE_R2","WSTATUS","WORKTIME","UNIT","Value","Flag and Footnotes"
"2011","France","Total - all NACE activities","Employed persons","Total","Thousand","25,759.3",""
"2011","Croatia","Total - all NACE activities","Employed persons","Total","Thousand","1,624.9",""
"2011","Italy","Total - all NACE activities","Employed persons","Total","Thousand","22,598.2",""
"2011","Cyprus","Total - all NACE activities","Employed persons","Total","Thousand","398.2",""
"2011","Latvia","Total - all NACE activities","Employed persons","Total","Thousand","861.6",""
"2011","Lithuania","Total - all NACE activities","Employed persons","Total","Thousand","1,253.6",""
"2011","Luxembourg","Total - all NACE activities","Employed persons","Total","Thousand","224.8",""
"2011","Hungary","Total - all NACE activities","Employed persons","Total","Thousand","3,759.0",""
"2011","Malta","Total - all NACE activities","Employed persons","Total","Thousand","166.6",""
"2011","Netherlands","Total - all NACE activities","Employed persons","Total","Thousand","8,291.4","b"
"2011","Austria","Total - all NACE activities","Employed persons","Total","Thousand","4,052.4",""
"2011","Poland","Total - all NACE activities","Employed persons","Total","Thousand","15,562.1",""
"2011","Portugal","Total - all NACE activities","Employed persons","Total","Thousand","4,740.1","b"
"2011","Romania","Total - all NACE activities","Employed persons","Total","Thousand","8,528.2",""
"2011","Slovenia","Total - all NACE activities","Employed persons","Total","Thousand","936.1",""
"2011","Slovakia","Total - all NACE activities","Employed persons","Total","Thousand","2,315.3","b"
"2011","Finland","Total - all NACE activities","Employed persons","Total","Thousand","2,473.7",""
"2011","Sweden","Total - all NACE activities","Employed persons","Total","Thousand","4,625.9",""
"2011","United Kingdom","Total - all NACE activities","Employed persons","Total","Thousand","29,282.1",""
"2011","Iceland","Total - all NACE activities","Employed persons","Total","Thousand","166.0",""
"2011","Norway","Total - all NACE activities","Employed persons","Total","Thousand","2,535.5",""
"2011","Switzerland","Total - all NACE activities","Employed persons","Total","Thousand","4,366.4",""
"2011","Former Yugoslav Republic of Macedonia, the","Total - all NACE activities","Employed persons","Total","Thousand","645.1",""
"2011","Turkey","Total - all NACE activities","Employed persons","Total","Thousand","24,099.3",""
"2012","Belgium","Total - all NACE activities","Employed persons","Total","Thousand","4,523.9",""
"2012","Bulgaria","Total - all NACE activities","Employed persons","Total","Thousand","2,934.0",""
"2012","Czech Republic","Total - all NACE activities","Employed persons","Total","Thousand","4,890.0",""
"2012","Denmark","Total - all NACE activities","Employed persons","Total","Thousand","2,688.6",""
"2012","Germany (until 1990 former territory of the FRG)","Total - all NACE activities","Employed persons","Total","Thousand","39,126.5",""
"2012","Estonia","Total - all NACE activities","Employed persons","Total","Thousand","614.9",""
"2012","Ireland","Total - all NACE activities","Employed persons","Total","Thousand","1,837.8",""
